country_code,state_code,region,city,Political_Region
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,Novato,USA - West
FIN,13,Lappeenranta,Lappeenranta,Northern Europe
USA,MD,"Washington, D.C.",Rockville,USA - South
USA,OR,"Portland, Oregon",Portland,USA - West
USA,RI,Providence,Providence,USA - Northeast
USA,PA,Pittsburgh,Pittsburgh,USA - Northeast
USA,FL,Palm Beaches,Boca Raton,USA - South
DEU,16,Berlin,Berlin,Western Europe
USA,CA,San Diego,San Diego,USA - West
USA,CA,Los Angeles,Encino,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
PRT,14,Porto,Porto,Southern Europe
USA,OR,"Portland, Oregon",Portland,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,TX,Austin,Austin,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
USA,IL,Chicago,Chicago,USA - Midwest
CAN,AB,Sherwood Park,Sherwood Park,North America
CHN,23,Shanghai,Shanghai,East Asia
USA,CA,SF Bay Area,San Francisco,USA - West
FRA,A8,Paris,Paris,Western Europe
USA,NY,New York City,Jamaica,USA - Northeast
USA,CA,SF Bay Area,South San Francisco,USA - West
USA,NC,Raleigh,Durham,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
USA,FL,Palm Beaches,Boca Raton,USA - South
USA,CO,Denver,Boulder,USA - West
USA,VA,"Washington, D.C.",Arlington,USA - South
USA,CA,Los Angeles,Torrance,USA - West
CAN,ON,Toronto,Toronto,North America
USA,CA,SF Bay Area,San Rafael,USA - West
USA,CA,San Diego,San Diego,USA - West
IND,24,Jaipur,Jaipur,South Asia
USA,CA,SF Bay Area,San Francisco,USA - West
BRA,23,Porto Alegre,Porto Alegre,Latin America
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,San Rafael,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,SC,"Columbia, South Carolina",Columbia,USA - South
USA,CA,SF Bay Area,San Mateo,USA - West
IRL,4,Cork,Cork,Western Europe
USA,NY,New York City,New York,USA - Northeast
ESP,56,Barcelona,Barcelona,Southern Europe
USA,CA,SF Bay Area,Sunnyvale,USA - West
USA,CO,Denver,Boulder,USA - West
USA,CA,Los Angeles,Los Angeles,USA - West
USA,CA,SF Bay Area,Pleasanton,USA - West
USA,WA,Seattle,Seattle,USA - West
USA,TN,Chattanooga,Chattanooga,USA - South
DNK,17,Copenhagen,Copenhagen,Northern Europe
ZAF,Unknown,Cape Town,Cape Town,Southern Africa
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,Los Gatos,USA - West
IND,10,New Delhi,Gurgaon,South Asia
MEX,9,Mexico City,Mexico City,Latin America
USA,CA,CA - Other,Tarzana,USA - West
USA,CT,Hartford,Norwalk,USA - Northeast
CAN,ON,Ottawa,Ottawa,North America
USA,TX,Austin,Austin,USA - South
CHE,25,Zurich,Zürich,Western Europe
EST,1,Tallinn,Tallinn,Northern Europe
USA,CA,Los Angeles,Los Angeles,USA - West
USA,MO,St. Louis,St Louis,USA - Midwest
IND,16,Thane,Thane,South Asia
JPN,18,JPN - Other,China,East Asia
USA,Unknown,Unknown,Unknown,USA - USA - Other
IND,24,IND - Other,Bhadra,South Asia
USA,DC,"Washington, D.C.",Washington,USA - South
USA,GA,Atlanta,Marietta,USA - South
BRA,2,Sao Paulo,São Paulo,Latin America
USA,Unknown,Unknown,Unknown,USA - USA - Other
BRA,21,Rio de Janeiro,Rio De Janeiro,Latin America
CAN,QC,Montreal,Montréal,North America
USA,OH,Cincinnati,Batavia,USA - Midwest
TUR,17,Ã‡an,Çan,Middle East
ISR,2,Tel Aviv,Ra'anana,Middle East
Unknown,Unknown,Unknown,Unknown,Unknown
USA,FL,Jacksonville,Jacksonville,USA - South
USA,CA,SF Bay Area,Alameda,USA - West
USA,NY,New York City,New York,USA - Northeast
CAN,ON,Toronto,Toronto,North America
CAN,ON,Toronto,Toronto,North America
USA,MA,Boston,Cambridge,USA - Northeast
JPN,32,Osaka,Osaka,East Asia
USA,MA,Boston,Cambridge,USA - Northeast
USA,NJ,NJ - Other,Mount Laurel,USA - Northeast
USA,CA,SF Bay Area,Mill Valley,USA - West
CHN,22,Beijing,Beijing,East Asia
JPN,40,Tokyo,Tokyo,East Asia
USA,CA,SF Bay Area,Mountain View,USA - West
USA,MA,Boston,Cambridge,USA - Northeast
ISR,Unknown,Unknown,Unknown,Middle East
USA,CA,SF Bay Area,San Carlos,USA - West
USA,NY,New York City,New York,USA - Northeast
GBR,K2,Unknown,Unknown,Western Europe
FIN,15,Turku,Turku,Northern Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,UT,Salt Lake City,Draper,USA - West
USA,VT,VT - Other,Saint Johnsbury,USA - Northeast
USA,MI,Detroit,Ann Arbor,USA - Midwest
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Francisco,USA - West
USA,OH,Toledo,Toledo,USA - Midwest
GBR,H9,London,London,Western Europe
USA,OR,"Portland, Oregon",Beaverton,USA - West
USA,CA,San Diego,San Diego,USA - West
USA,TX,Austin,Austin,USA - South
UGA,37,Kampala,Kampala,East Africa
HKG,Unknown,Hong Kong,Hong Kong,East Asia
GBR,P9,GBR - Other,Ascot,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,Los Angeles,Agoura Hills,USA - West
USA,IL,Chicago,Northbrook,USA - Midwest
USA,MO,St. Louis,St Louis,USA - Midwest
CHN,32,Chengdu,Chengdu,East Asia
FRA,A8,Paris,Paris,Western Europe
USA,NJ,Newark,Hoboken,USA - Northeast
GBR,H9,London,London,Western Europe
KOR,11,Seoul,Seoul,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CO,Denver,Boulder,USA - West
USA,NC,NC - Other,Francisco,USA - South
USA,IL,Chicago,Chicago,USA - Midwest
IND,36,New Delhi,Noida,South Asia
USA,WA,Seattle,Seattle,USA - West
TUR,34,Istanbul,Istanbul,Middle East
GBR,Q5,GBR - Other,Selby,Western Europe
USA,CA,SF Bay Area,San Francisco,USA - West
ITA,12,Turin,Torino,Southern Europe
USA,CA,Bakersfield,California City,USA - West
AUT,9,Vienna,Vienna,Central Europe
USA,CA,SF Bay Area,San Francisco,USA - West
USA,TX,Houston,Houston,USA - South
ESP,56,Barcelona,Barcelona,Southern Europe
USA,FL,Gainesville,Alachua,USA - South
USA,CA,Fresno,Fresno,USA - West
USA,CA,SF Bay Area,Menlo Park,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,MA,Boston,Natick,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NJ,Newark,Edison,USA - Northeast
ESP,29,Madrid,Madrid,Southern Europe
USA,PA,Pittsburgh,Monroeville,USA - Northeast
FRA,A8,Paris,Paris,Western Europe
USA,NY,New York City,New York,USA - Northeast
USA,PA,Pittsburgh,Pittsburgh,USA - Northeast
CHN,4,Nanjing,Nanjing,East Asia
ESP,56,Barcelona,Barcelona,Southern Europe
JPN,40,Tokyo,Tokyo,East Asia
USA,ME,ME - Other,West Boothbay Harbor,USA - Northeast
GBR,H9,London,London,Western Europe
CHN,30,CHN - Other,Beijin,East Asia
USA,CA,SF Bay Area,San Francisco,USA - West
DNK,17,Copenhagen,Copenhagen,Northern Europe
USA,GA,Atlanta,Atlanta,USA - South
JPN,40,Tokyo,Tokyo,East Asia
USA,CT,CT - Other,South Glastonbury,USA - Northeast
IND,16,Mumbai,Mumbai,South Asia
USA,CA,SF Bay Area,Mountain View,USA - West
USA,CA,SF Bay Area,Los Altos,USA - West
CHN,22,Beijing,Beijing,East Asia
ISR,Unknown,Unknown,Unknown,Middle East
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,San Francisco,USA - West
DEU,2,Munich,Munich,Western Europe
USA,MA,Worcester,Westborough,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,PA,Philadelphia,King Of Prussia,USA - Northeast
USA,FL,Sarasota - Bradenton,Sarasota,USA - South
USA,NV,Las Vegas,Las Vegas,USA - West
CAN,ON,Toronto,Toronto,North America
USA,MA,Boston,Cambridge,USA - Northeast
USA,WA,Seattle,Seattle,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,CO,Denver,Boulder,USA - West
GBR,H9,London,London,Western Europe
USA,VA,"Washington, D.C.",Charlottesville,USA - South
USA,CA,San Diego,San Diego,USA - West
USA,WA,Seattle,Seattle,USA - West
ZAF,Unknown,Cape Town,Cape Town,Southern Africa
SWE,8,SWE - Other,Bodafors,Northern Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,MA,Boston,Boston,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NY,New York City,New York,USA - Northeast
USA,IL,Chicago,Naperville,USA - Midwest
USA,NY,New York City,New York,USA - Northeast
IRL,7,Dublin,Dublin,Western Europe
NZL,Unknown,Unknown,Unknown,Oceania
Unknown,Unknown,Unknown,Unknown,Unknown
CHL,12,Santiago,Santiago,South America
CHN,30,Tianjin,Tianjin,East Asia
USA,CA,Fresno,Visalia,USA - West
USA,FL,Gainesville,Gainesville,USA - South
USA,CA,SF Bay Area,San Jose,USA - West
DEU,1,Stuttgart,Stuttgart,Western Europe
CAN,ON,Toronto,Toronto,North America
RUS,48,Moscow,Moscow,Eastern Europe
SWE,21,Stockholm,Uppsala,Northern Europe
USA,IN,Indianapolis,Indianapolis,USA - Midwest
USA,MO,St. Louis,Saint Louis,USA - Midwest
COL,34,Bogota,Bogotá,South America
GBR,H9,London,London,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
JPN,40,Tokyo,Tokyo,East Asia
USA,VA,VA - Other,Hume,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
DEU,13,DEU - Other,Deutsch,Western Europe
BGR,42,Sofia,Sofia,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
GBR,Y5,GBR - Other,Cymer,Western Europe
USA,FL,Miami,Miami,USA - South
USA,CA,SF Bay Area,Foster City,USA - West
ZAF,Unknown,Cape Town,Stellenbosch,Southern Africa
GBR,K2,London,Oxford,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,AZ,Phoenix,Scottsdale,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,PA,Pittsburgh,Pittsburgh,USA - Northeast
USA,KS,Kansas City,Lenexa,USA - Midwest
Unknown,Unknown,Unknown,Unknown,Unknown
SWE,28,Gothenburg,Göteborg,Northern Europe
HKG,Unknown,Hong Kong,Hong Kong,East Asia
CAN,ON,Toronto,Markham,North America
GBR,H9,London,London,Western Europe
USA,CA,SF Bay Area,Santa Clara,USA - West
CHE,1,CHE - Other,Windisch,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,SF Bay Area,Campbell,USA - West
USA,HI,Honolulu,Honolulu,USA - West
USA,TN,Nashville,Nashville,USA - South
USA,FL,Miami,Miami Lakes,USA - South
HUN,9,HUN - Other,Pér,Eastern Europe
USA,NV,Las Vegas,Las Vegas,USA - West
USA,SC,Myrtle Beach,Myrtle Beach,USA - South
USA,OR,"Portland, Oregon",Portland,USA - West
USA,TX,Austin,Austin,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
USA,MA,Boston,Cambridge,USA - Northeast
ISR,5,Tel Aviv,Tel Aviv,Middle East
Unknown,Unknown,Unknown,Unknown,Unknown
NLD,9,Utrecht,Utrecht,Western Europe
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,Foster City,USA - West
GBR,H9,London,London,Western Europe
SRB,2,Belgrade,Belgrade,Eastern Europe
ESP,29,Madrid,Madrid,Southern Europe
GBR,P6,London,Worthing,Western Europe
USA,CA,SF Bay Area,Mountain View,USA - West
USA,OR,"Portland, Oregon",Portland,USA - West
USA,NH,"Manchester, New Hampshire",Lebanon,USA - Northeast
USA,MN,Minneapolis,Maple Grove,USA - Midwest
USA,CA,SF Bay Area,San Francisco,USA - West
USA,NY,New York City,New York,USA - Northeast
CAN,BC,Vancouver,Vancouver,North America
MLT,Unknown,Unknown,Unknown,Eastern Europe
USA,CA,SF Bay Area,Mountain View,USA - West
CHL,12,Santiago,Santiago,South America
KOR,11,Seoul,Seoul,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
HUN,9,HUN - Other,Pér,Eastern Europe
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Francisco,USA - West
USA,MA,Boston,Cambridge,USA - Northeast
NOR,12,Oslo,Oslo,Northern Europe
USA,CA,Los Angeles,Culver City,USA - West
USA,CA,Los Angeles,Los Angeles,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
USA,MN,Minneapolis,Eden Prairie,USA - Midwest
USA,CA,SF Bay Area,Mountain View,USA - West
USA,CA,SF Bay Area,Palo Alto,USA - West
USA,NC,Winston-Salem,Winston Salem,USA - South
HKG,Unknown,Hong Kong,Hong Kong,East Asia
USA,VA,Roanoke,Blacksburg,USA - South
USA,CA,Anaheim,Newport Beach,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,Los Angeles,Los Angeles,USA - West
AUT,6,AUT - Other,Sankt Ruprecht An Der Raab,Central Europe
USA,MO,St. Louis,Columbia,USA - Midwest
USA,AR,Little Rock,Little Rock,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
USA,TX,Austin,Austin,USA - South
JPN,18,JPN - Other,China,East Asia
USA,WA,Seattle,Bellevue,USA - West
USA,WA,Seattle,Bothell,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CT,Hartford,Meriden,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,WA,Seattle,Kirkland,USA - West
USA,WA,Seattle,Sammamish,USA - West
ESP,29,San SebastiÃ¡n De Los Reyes,San Sebastián De Los Reyes,Southern Europe
USA,CT,Hartford,Farmington,USA - Northeast
USA,NC,Charlotte,Charlotte,USA - South
USA,NY,New York City,New York,USA - Northeast
USA,NY,New York City,New York,USA - Northeast
USA,PA,Philadelphia,Jamison,USA - Northeast
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,Los Angeles,Burbank,USA - West
USA,PA,Allentown,Allentown,USA - Northeast
USA,MA,Boston,Medford,USA - Northeast
USA,TX,Austin,Austin,USA - South
USA,MA,Boston,Chelmsford,USA - Northeast
USA,NY,New York City,New York,USA - Northeast
DEU,1,Stuttgart,Stuttgart,Western Europe
USA,WA,Seattle,Redmond,USA - West
USA,NY,New York City,New York,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Ramon,USA - West
USA,CA,Los Angeles,Los Angeles,USA - West
USA,CA,Los Angeles,Los Angeles,USA - West
USA,CA,Anaheim,Irvine,USA - West
USA,OH,Toledo,Toledo,USA - Midwest
USA,CA,Los Angeles,Encino,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Francisco,USA - West
ISR,5,Tel Aviv,Tel Aviv,Middle East
Unknown,Unknown,Unknown,Unknown,Unknown
CHN,23,Shanghai,Shanghai,East Asia
USA,CA,SF Bay Area,Hayward,USA - West
USA,AZ,Phoenix,Mesa,USA - West
ESP,55,Leon,León,Southern Europe
USA,CA,San Diego,San Diego,USA - West
USA,CA,Los Angeles,Thousand Oaks,USA - West
GBR,A7,Birmingham,Birmingham,Western Europe
USA,CA,"Orange County, California",Laguna Niguel,USA - West
GBR,H9,London,London,Western Europe
USA,CA,SF Bay Area,San Francisco,USA - West
GBR,G5,Kent,Kent,Western Europe
BRA,2,Sao Paulo,São Paulo,Latin America
USA,AZ,Phoenix,Phoenix,USA - West
GBR,A7,Birmingham,Birmingham,Western Europe
RUS,66,St. Petersburg,Saint Petersburg,Eastern Europe
USA,TX,Austin,Austin,USA - South
GBR,H8,Liverpool,Liverpool,Western Europe
ARG,7,Buenos Aires,Buenos Aires,South America
USA,NY,NY - Other,Tonawanda,USA - Northeast
ESP,56,Barcelona,Barcelona,Southern Europe
IRL,7,Dublin,Dublin,Western Europe
USA,CA,SF Bay Area,Oakland,USA - West
USA,CA,SF Bay Area,Richmond,USA - West
USA,MD,"Washington, D.C.",Bethesda,USA - South
USA,WI,Milwaukee,West Bend,USA - Midwest
USA,CA,Los Angeles,Valencia,USA - West
AUS,7,Melbourne,Melbourne,Oceania
USA,MI,Detroit,Bloomfield Hills,USA - Midwest
JPN,8,Yokohama,Kanagawa,East Asia
CHE,15,CHE - Other,Saint Gallen,Western Europe
USA,WA,Seattle,Seattle,USA - West
USA,WA,Seattle,Bellevue,USA - West
USA,VA,Richmond,Richmond,USA - South
USA,SC,"Charleston, South Carolina",Mount Pleasant,USA - South
USA,CA,Sacramento,Sacramento,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NV,Las Vegas,Las Vegas,USA - West
USA,PA,Philadelphia,Philadelphia,USA - Northeast
MYS,12,Kuala Lumpur,Petaling Jaya,Southeast Asia
USA,MI,Detroit,Detroit,USA - Midwest
FIN,13,Helsinki,Helsinki,Northern Europe
USA,MA,Boston,Boston,USA - Northeast
USA,VA,Alexandria,Alexandria,USA - South
NZL,G2,Wellington,Wellington,Oceania
GBR,H9,London,London,Western Europe
MEX,9,Mexico City,Mexico City,Latin America
USA,MA,Boston,Boston,USA - Northeast
DEU,15,Jena,Jena,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,Los Angeles,Santa Monica,USA - West
JPN,40,Tokyo,Tokyo,East Asia
FRA,A8,Paris,Paris,Western Europe
USA,CA,SF Bay Area,San Jose,USA - West
USA,CA,Los Angeles,Los Angeles,USA - West
USA,CA,SF Bay Area,South San Francisco,USA - West
FRA,A8,FRA - Other,Jouy-en-josas,Western Europe
NGA,5,Lagos,Lagos,West Africa
CAN,QC,Montreal,Laval,North America
USA,AZ,Phoenix,Scottsdale,USA - West
USA,NY,New York City,New York,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CO,Denver,Denver,USA - West
USA,CA,SF Bay Area,Redwood City,USA - West
USA,NC,Charlotte,Charlotte,USA - South
GBR,H9,London,London,Western Europe
BEL,11,Brussels,Brussels,Western Europe
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,Sunnyvale,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,TX,Austin,Austin,USA - South
USA,UT,Salt Lake City,Springville,USA - West
USA,MN,Minneapolis,Saint Paul,USA - Midwest
CHN,22,Beijing,Beijing,East Asia
USA,AR,Little Rock,Little Rock,USA - South
USA,OR,"Portland, Oregon",Portland,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,San Jose,USA - West
GBR,H9,London,London,Western Europe
AUS,2,Sydney,Sydney,Oceania
JPN,40,Tokyo,Tokyo,East Asia
USA,PA,Pittsburgh,Pittsburgh,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,PA,State College,State College,USA - Northeast
USA,WA,Seattle,Seattle,USA - West
BEL,8,Brussels,Lochristi,Western Europe
USA,MN,Minneapolis,Plymouth,USA - Midwest
DNK,17,Copenhagen,Copenhagen,Northern Europe
GBR,C9,Unknown,Unknown,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,TX,Houston,Houston,USA - South
GBR,H9,London,London,Western Europe
PAK,5,Karachi,Karachi,South Asia
CAN,ON,Toronto,Richmond Hill,North America
USA,NY,New York City,New York,USA - Northeast
USA,NY,New York City,New York,USA - Northeast
USA,OR,"Portland, Oregon",Portland,USA - West
USA,AZ,Phoenix,Phoenix,USA - West
USA,VA,Norfolk - Virginia Beach,Norfolk,USA - South
CAN,AB,Thunder Bay,Thunder Bay,North America
USA,NC,Raleigh,Morrisville,USA - South
USA,PA,Pittsburgh,Pittsburgh,USA - Northeast
USA,MN,Minneapolis,Minnetonka,USA - Midwest
Unknown,Unknown,Unknown,Unknown,Unknown
USA,MD,"Washington, D.C.",Rockville,USA - South
USA,CA,Los Angeles,Los Angeles,USA - West
USA,WA,Seattle,Bellevue,USA - West
USA,CA,Los Angeles,Thousand Oaks,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
GBR,C3,Melbourn,Melbourn,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
NZL,E7,NZL - Other,Avondale,Oceania
BEL,1,Antwerp,Antwerp,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,Los Angeles,Los Angeles,USA - West
USA,GA,Atlanta,Atlanta,USA - South
USA,MI,Detroit,Ann Arbor,USA - Midwest
GRC,35,Athens,Athens,Southern Europe
HKG,Unknown,Hong Kong,Hong Kong,East Asia
USA,CA,Ontario - Inland Empire,Walnut,USA - West
USA,NJ,Newark,Parsippany,USA - Northeast
USA,IL,Chicago,Chicago,USA - Midwest
USA,NY,NY - Other,Amherst,USA - Northeast
USA,MA,Boston,Woburn,USA - Northeast
USA,VA,"Washington, D.C.",Vienna,USA - South
CAN,ON,Toronto,Toronto,North America
HUN,5,Budapest,Budapest,Eastern Europe
CAN,NL,St. John's,Saint John's,North America
Unknown,Unknown,Unknown,Unknown,Unknown
SWE,26,Stockholm,Stockholm,Northern Europe
GBR,H9,London,London,Western Europe
CAN,BC,Vancouver,Vancouver,North America
USA,MD,Baltimore,Annapolis,USA - South
USA,VA,"Washington, D.C.",Reston,USA - South
USA,MA,Boston,Burlington,USA - Northeast
USA,CA,SF Bay Area,Sunnyvale,USA - West
CAN,ON,Toronto,Toronto,North America
USA,NJ,Newark,Newark,USA - Northeast
USA,GA,Atlanta,Atlanta,USA - South
USA,IL,Chicago,Chicago,USA - Midwest
HKG,Unknown,Hong Kong,Hong Kong,East Asia
IND,7,New Delhi,New Delhi,South Asia
USA,CA,SF Bay Area,Foster City,USA - West
CHN,22,Beijing,Beijing,East Asia
LTU,65,Vilnius,Vilnius,Northern Europe
USA,Unknown,Unknown,Unknown,USA - USA - Other
USA,MA,Boston,Cambridge,USA - Northeast
CAN,BC,Vancouver,Vancouver,North America
USA,FL,Tampa,Tampa,USA - South
USA,NY,New York City,New York,USA - Northeast
USA,CA,San Diego,San Diego,USA - West
ESP,29,Madrid,Madrid,Southern Europe
USA,ME,"Portland, Maine",Portland,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
FRA,B9,FRA - Other,Charbonnières-les-bains,Western Europe
CHN,Unknown,Unknown,Unknown,East Asia
GBR,H9,London,London,Western Europe
USA,CA,Los Angeles,Los Angeles,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,IL,Chicago,Chicago Ridge,USA - Midwest
USA,UT,Unknown,Unknown,USA - West
USA,PA,Philadelphia,Yardley,USA - Northeast
USA,CA,SF Bay Area,San Francisco,USA - West
USA,GA,Atlanta,Atlanta,USA - South
FRA,A8,Paris,Paris,Western Europe
USA,NY,New York City,New York,USA - Northeast
USA,VA,"Washington, D.C.",Mclean,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
USA,TX,Dallas,Frisco,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
ESP,29,Madrid,Madrid,Southern Europe
USA,CO,Denver,Boulder,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
ESP,56,ESP - Other,Rubí,Southern Europe
USA,NY,New York City,New York,USA - Northeast
FRA,B9,FRA - Other,Morzine,Western Europe
USA,CA,SF Bay Area,Sunnyvale,USA - West
USA,PA,Philadelphia,Radnor,USA - Northeast
USA,MA,Worcester,Westborough,USA - Northeast
USA,MA,Boston,Acton,USA - Northeast
USA,WA,Seattle,Seattle,USA - West
USA,GA,Atlanta,Marietta,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,SF Bay Area,Palo Alto,USA - West
USA,CA,CA - Other,Avenal,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
USA,OH,Cincinnati,Loveland,USA - Midwest
ITA,9,Milan,Milan,Southern Europe
GRC,35,Athens,Athens,Southern Europe
IND,36,New Delhi,Noida,South Asia
USA,NY,New York City,New York,USA - Northeast
USA,NM,Albuquerque,Albuquerque,USA - West
USA,IL,Chicago,Chicago,USA - Midwest
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NJ,Newark,Morristown,USA - Northeast
USA,OH,Akron - Canton,Wadsworth,USA - Midwest
GBR,C5,Unknown,Unknown,Western Europe
USA,CT,Hartford,Stamford,USA - Northeast
CAN,AB,Calgary,Calgary,North America
FRA,A8,Paris,Paris,Western Europe
IDN,4,IDN - Other,Setiabudi,Southeast Asia
USA,CA,SF Bay Area,San Mateo,USA - West
USA,Unknown,Unknown,Unknown,USA - USA - Other
USA,TX,Dallas,Grand Prairie,USA - South
USA,CA,Palm Springs,Thousand Palms,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
ISR,Unknown,Unknown,Unknown,Middle East
USA,IL,Chicago,Aurora,USA - Midwest
USA,IL,Chicago,Chicago,USA - Midwest
ESP,56,Barcelona,Barcelona,Southern Europe
AUS,2,Sydney,Sydney,Oceania
USA,FL,Palm Beaches,West Palm Beach,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NY,New York City,New York,USA - Northeast
CAN,ON,Toronto,Milton,North America
USA,CA,SF Bay Area,Redwood City,USA - West
USA,TX,Houston,Houston,USA - South
NLD,3,NLD - Other,Wageningen,Western Europe
ISR,6,Tel Aviv,Jerusalem,Middle East
NLD,3,Utrecht,Ede,Western Europe
GBR,H9,London,London,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
DNK,17,Copenhagen,Copenhagen,Northern Europe
Unknown,Unknown,Unknown,Unknown,Unknown
DEU,4,Hamburg,Hamburg,Western Europe
FIN,8,Oulu,Oulu,Northern Europe
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,San Francisco,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
CAN,QC,Gatineau,Gatineau,North America
USA,OH,Cleveland,Cleveland,USA - Midwest
USA,FL,Ft. Lauderdale,Oakland Park,USA - South
GBR,H9,London,London,Western Europe
USA,NC,Raleigh,Raleigh,USA - South
CAN,ON,Toronto,Toronto,North America
USA,CA,SF Bay Area,Sunnyvale,USA - West
IRL,7,Dublin,Dublin,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
IND,16,Mumbai,Mumbai,South Asia
GBR,H9,London,London,Western Europe
USA,CO,Denver,Lakewood,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,Burlingame,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
ESP,51,Seville,Seville,Southern Europe
USA,NJ,NJ - Other,Hampton,USA - Northeast
FRA,A8,Malakoff,Malakoff,Western Europe
USA,NY,New York City,New York,USA - Northeast
USA,CA,Monterey,Monterey,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
PRT,14,Lisbon,Lisbon,Southern Europe
USA,CA,SF Bay Area,Sunnyvale,USA - West
USA,NY,New York City,New York,USA - Northeast
TUR,34,Istanbul,Istanbul,Middle East
USA,OH,Cleveland,Cleveland,USA - Midwest
USA,DC,"Washington, D.C.",Washington,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
ESP,56,Barcelona,Barcelona,Southern Europe
